PV,CA,PV/CA,CA/PV,PV_percent,CA_percent,Diff,Diff_percent
0.317786813,0.404677103,0.785284887,1.273423208,0.439865308,0.560134692,0.08689029,0.120269384
0.107885662,0.192633372,0.560056967,1.78553265,0.358997767,0.641002233,0.08474771,0.282004467
0.19451828,0.244894348,0.794294689,1.25897858,0.442677947,0.557322053,0.050376068,0.114644106
0.208335574,0.288716801,0.721591446,1.38582574,0.419142095,0.580857905,0.080381227,0.161715809
0.241960305,0.354217211,0.683084552,1.463947613,0.405852785,0.594147215,0.112256906,0.188294431
0.040292357,0.20163948,0.19982375,5.004410142,0.166544253,0.833455747,0.161347123,0.666911495
0.603083407,0.660866443,0.91256473,1.095812678,0.477141879,0.522858121,0.057783036,0.045716241
0.5724854,0.598927711,0.95585058,1.046188621,0.488713499,0.511286501,0.026442311,0.022573002
0.528549232,0.538909172,0.980776093,1.01960071,0.49514738,0.50485262,0.01035994,0.00970524
0.455649914,0.614132675,0.741940516,1.347816945,0.425927584,0.574072416,0.158482761,0.148144831
0.471234644,0.643416809,0.732394052,1.365385201,0.422764123,0.577235877,0.172182165,0.154471754
0.273878936,0.277664731,0.986365589,1.013822878,0.496568001,0.503431999,0.003785795,0.006863999
0.123997898,0.184546888,0.671904573,1.488306584,0.401879739,0.598120261,0.06054899,0.196240522
0.125038526,0.253911207,0.492449811,2.030663789,0.329960718,0.670039282,0.128872681,0.340078564
0.07213998,0.044787564,1.610714528,0.620842479,0.6169631,0.3830369,-0.027352416,-0.2339262
0.130608875,0.2294882,0.569131114,1.757064365,0.362704626,0.637295374,0.098879325,0.274590748
0.316074684,0.436632582,0.723891659,1.381422189,0.419917142,0.580082858,0.120557898,0.160165716
0.353546873,0.46315515,0.763344363,1.310024739,0.432895797,0.567104203,0.109608277,0.134208406
0.197451693,0.351579753,0.56161281,1.780586166,0.3596364,0.6403636,0.15412806,0.280727199
0.356935397,0.511352289,0.698022488,1.432618601,0.411079649,0.588920351,0.154416892,0.177840702
0.524213215,0.648870782,0.807885375,1.23779936,0.446867587,0.553132413,0.124657567,0.106264826
0.348192483,0.467167312,0.745327154,1.341692698,0.427041516,0.572958484,0.118974829,0.145916968
0.501250633,0.57094027,0.877938831,1.139031519,0.467501293,0.532498707,0.069689637,0.064997415
0.039181892,0.155155752,0.252532642,3.959884122,0.201617614,0.798382386,0.11597386,0.596764773
0.179794752,0.402330384,0.446883355,2.237720398,0.308859283,0.691140717,0.222535632,0.382281434
0.133546469,0.315983661,0.422637261,2.366095213,0.297080129,0.702919871,0.182437192,0.405839742
0.191149749,0.440912514,0.433532147,2.30663402,0.302422341,0.697577659,0.249762765,0.395155319
0.012962854,0.143870081,0.09010111,11.0986424,0.082653902,0.917346098,0.130907227,0.834692197
0.303911543,0.549241329,0.553329706,1.807240763,0.356221673,0.643778327,0.245329786,0.287556655
0.367999737,0.27589964,1.333817387,0.749727818,0.571517461,0.428482539,-0.092100097,-0.143034922
0.320941142,0.219033548,1.465260208,0.682472639,0.594363306,0.405636694,-0.101907594,-0.188726612
0.11736166,0.099165031,1.183498445,0.844952525,0.542019367,0.457980633,-0.018196629,-0.084038734
0.375018955,0.243218679,1.541900304,0.648550362,0.60659354,0.39340646,-0.131800276,-0.21318708
0.418469961,0.344934818,1.21318562,0.824276173,0.548162616,0.451837384,-0.073535143,-0.096325233
0.480995226,0.331445063,1.451206488,0.689081814,0.592037633,0.407962367,-0.149550163,-0.184075267
0.533757919,0.516064882,1.03428452,0.966851945,0.508426678,0.491573322,-0.017693037,-0.016853356
0.419282129,0.456231148,0.919012502,1.088124479,0.478898653,0.521101347,0.036949019,0.042202694
0.017920923,0.146271585,0.122518143,8.162056441,0.109145802,0.890854198,0.128350662,0.781708396
0.094691615,0.197702626,0.478959824,2.08785779,0.323849111,0.676150889,0.103011011,0.352301778
0.157076159,0.275063835,0.571053476,1.751149485,0.363484429,0.636515571,0.117987676,0.273031142
0.174779857,0.028543586,6.123262053,0.163311645,0.85961488,0.14038512,-0.146236271,-0.719229759
0.01919929,0.089521778,0.214465021,4.662765029,0.176592176,0.823407824,0.070322488,0.646815648
0.260163832,0.289014272,0.900176418,1.110893354,0.473733075,0.526266925,0.02885044,0.05253385
0.082028584,0.147994321,0.554268457,1.804179882,0.356610504,0.643389496,0.065965737,0.286778993
0.292856028,0.287030994,1.020294094,0.980109564,0.505022559,0.494977441,-0.005825034,-0.010045119
0.362463221,0.502795778,0.720895514,1.387163577,0.418907196,0.581092804,0.140332557,0.162185608
0.396889599,0.53142655,0.746838108,1.338978273,0.427537105,0.572462895,0.134536951,0.14492579
0.252387413,0.284234234,0.887955717,1.126182287,0.47032656,0.52967344,0.031846821,0.059346881
0.285934513,0.313392521,0.91238461,1.096029009,0.477092634,0.522907366,0.027458008,0.045814733
0.244576776,0.245048558,0.998074741,1.001928973,0.499518221,0.500481779,0.000471782,0.000963557
0.545678578,0.528707363,1.032099449,0.96889888,0.5078981,0.4921019,-0.016971215,-0.0157962
0.600181133,0.511870557,1.172525211,0.852860126,0.539706147,0.460293853,-0.088310576,-0.079412294
0.530655868,0.534216764,0.993334361,1.006710368,0.498328018,0.501671982,0.003560896,0.003343964
0.599579307,0.543476319,1.103229867,0.906429413,0.524540795,0.475459205,-0.056102988,-0.04908159
0.072982512,0.00484641,15.05908745,0.066405086,0.937729961,0.062270039,-0.068136102,-0.875459922
0.559773792,0.492308139,1.137039483,0.879476935,0.532062927,0.467937073,-0.067465653,-0.064125855
0.45286565,0.455660512,0.99386635,1.006171504,0.49846187,0.50153813,0.002794862,0.003076259
0.573828748,0.466823495,1.229219939,0.813524064,0.551412589,0.448587411,-0.107005253,-0.102825179
0.490297802,0.284727841,1.721987566,0.580724286,0.632621393,0.367378607,-0.205569961,-0.265242786
0.481272037,0.298241873,1.613697071,0.619694996,0.617400191,0.382599809,-0.183030164,-0.234800382
0.509549191,0.37607738,1.354905182,0.738059027,0.575354453,0.424645547,-0.133471811,-0.150708905
0.543017264,0.449084996,1.209163675,0.827017898,0.547340013,0.452659987,-0.093932268,-0.094680026
0.547611555,0.42055236,1.302124556,0.767975687,0.565618638,0.434381362,-0.127059195,-0.131237276
0.590321238,0.418915671,1.409164848,0.709640182,0.5849184,0.4150816,-0.171405567,-0.1698368
0.560327982,0.40739863,1.375380133,0.727071721,0.57901475,0.42098525,-0.152929352,-0.158029499
0.571330086,0.404403037,1.412773975,0.707827308,0.585539296,0.414460704,-0.166927049,-0.171078592
0.455762184,0.402892301,1.131225846,0.883996775,0.530786471,0.469213529,-0.052869883,-0.061572942
0.557054992,0.453909122,1.227239033,0.814837186,0.551013616,0.448986384,-0.10314587,-0.102027232
